image_id,original_filename,scenario,model_alias,provider,model,critical_field,raw_action_literal,action_literal_status,raw_argument_literal,literal_status,parse_valid,schema_valid,inference_contamination_risk,raw_response_path,reading_status
IMG_3483.jpeg,IMG_3483.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""0800-123-456""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3483.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_3484.jpeg,IMG_3484.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""0800-123-456""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3484.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_3485.jpeg,IMG_3485.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""0800-123-456""",UNIQUE_LITERAL,False,False,True,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3485.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_3496.jpeg,IMG_3496.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""0800-159-123""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3496.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_3497.jpeg,IMG_3497.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""Unknown""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3497.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_3498.jpeg,IMG_3498.jpeg,CALL,gemma,gemma,google/gemma-3-4b-it,target_number,"""CALL""",UNIQUE_LITERAL,"""0800-159-123""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_3498.jpeg.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_6144.JPG,IMG_6144.JPG,NAVIGATION,gemma,gemma,google/gemma-3-4b-it,direction,"""DIRECTION_ADVICE""",UNIQUE_LITERAL,"""DOWN""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_6144.JPG.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_6145.JPG,IMG_6145.JPG,NAVIGATION,gemma,gemma,google/gemma-3-4b-it,direction,"""DIRECTION_ADVICE""",UNIQUE_LITERAL,"""DOWN""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_6145.JPG.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_6146.JPG,IMG_6146.JPG,NAVIGATION,gemma,gemma,google/gemma-3-4b-it,direction,"""DIRECTION_ADVICE""",UNIQUE_LITERAL,"""DOWN""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_6146.JPG.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
IMG_6147.JPG,IMG_6147.JPG,NAVIGATION,gemma,gemma,google/gemma-3-4b-it,direction,"""DIRECTION_ADVICE""",UNIQUE_LITERAL,"""STRAIGHT""",UNIQUE_LITERAL,False,False,False,results_physical_pilot/direct_v1/raw/gemma/direct/IMG_6147.JPG.json,PROVISIONAL — RAW LITERAL READING ONLY; NOT PARSED ACTIONS OR SCIENTIFIC GROUND TRUTH
